AAPL,MSI,SBUX,SMA_AAPL,SMA_MSI,SMA_SBUX,EMA_AAPL,EMA_MSI,EMA_SBUX,RSI_AAPL,RSI_MSI,RSI_SBUX
58.4599,57.98,33.12,59.368142857142836,56.86714285714287,32.76625,59.038899864552604,57.08994398246389,32.66805926838952,39.76016046247852,56.33170288248886,58.89494893537216
59.7842,57.49,33.395,59.228342857142835,56.95500000000002,32.849821428571424,59.13827321594559,57.14328478480204,32.76498469927092,47.34321387439462,52.106531292292644,61.34430293611022
60.1142,57.26,33.65,59.073592857142835,56.96000000000002,32.89732142857142,59.268396787152845,57.1588468134951,32.88298673936813,49.0638869135577,50.2030947602685,63.51530037194668
59.6314,57.93,33.86,58.94471428571426,57.03142857142859,32.97303571428571,59.31679721553247,57.26166723836242,33.013255174119045,46.66151182453014,55.32299965236254,65.24635191021446
59.2928,57.86,34.145,58.77175714285712,57.06928571428573,33.053749999999994,59.313597586794806,57.3414449399141,33.164154484236505,44.99744376848681,54.69032855697553,67.50003266575476
60.3357,58.03,34.065,58.6756357142857,57.117857142857154,33.09071428571428,59.4498779085555,57.43325228125889,33.28426721967164,50.81553619672247,56.006158379958826,66.20227172219
60.1042,58.43,34.05,58.65247142857141,57.2357142857143,33.15107142857142,59.53712085408144,57.56615197709104,33.38636492371542,49.562273892057746,59.02165586782223,65.94625589441094
61.0411,59.05,34.67,58.75910714285713,57.48928571428572,33.29821428571428,59.737651406870576,57.763998380145566,33.55751626722003,54.45766795754376,63.22883370876233,70.94734766654919
60.9299,59.54,34.86,58.89185714285713,57.755,33.47785714285714,59.8966178859545,58.00079859612616,33.73118076492403,53.790350078958326,66.18378630510982,72.29035242945572
61.0628,59.17,34.83,59.1459357142857,58.010714285714286,33.67964285714285,60.0521088344939,58.156692116642674,33.87768999626749,54.50783894479463,62.1240905734663,71.72655373269724
61.4564,59.32,34.76,59.42721428571427,58.222857142857144,33.850357142857135,60.23934765656138,58.31179983442365,33.995331330098495,56.654395540116035,63.1119647181727,70.34789647916416
61.4728,59.42,34.1,59.756192857142835,58.36071428571428,33.936071428571424,60.40380796901986,58.4595598565005,34.00928715275203,56.74597661316007,63.7900125754882,58.86029504704873
61.6797,59.36,34.24,60.143728571428554,58.46928571428571,34.035714285714285,60.57392690648388,58.57961854230043,34.040048865718425,57.952949533316776,63.04126457887921,60.33975239123504
60.7071,59.85,34.395,60.43372857142855,58.62071428571428,34.152857142857144,60.59168331895269,58.74900273666037,34.08737568362264,50.779646949712266,66.49956664146244,61.97036853625426
60.9014,59.87,34.51,60.60812142857141,58.755714285714284,34.25214285714286,60.63297887642567,58.89846903843899,34.143725592472954,52.056372974267425,66.63679132299775,63.179940274481474
59.8557,59.98,33.83,60.61322857142854,58.933571428571426,34.28321428571429,60.52934169290224,59.04267316664713,34.10189551347656,45.25306710327543,67.42708019978875,52.538856015355904
62.9299,56.04,33.305,60.814349999999976,58.84642857142857,34.25857142857143,60.849416133848614,58.64231674442751,33.99564277834636,61.27584297116552,35.23377936355825,46.08523378294922
62.6428,54.25,34.085,61.029449999999976,58.583571428571425,34.27464285714286,61.0885339826688,58.05667451183717,34.00755707456685,59.52376231214313,28.561756087481623,54.94097131120247
62.9985,54.26,36.68,61.29414285714283,58.326428571428565,34.455714285714286,61.34319611831296,57.550451243592214,34.363882797957935,61.01120410569324,28.643051538363917,71.63417933770883
63.9699,54.01,36.225,61.55372857142855,58.03928571428571,34.61,61.6934233025379,57.07839107777992,34.61203175823021,64.81404458249919,27.79157378296105,66.9506676339581
